nome;periodo;categoria;dificuldade;Creditos;HoraAula;HoraRelogio;QtdTeorica;QtdPratica;Ementa
Introdução à Administração;1;humanas;2.5;4;72;60;30;30;As atividades do processo administrativo: Planejamento, organização, direção e controle. A relação entre níveis organizacionais, processo decisório e sistemas de informação, Visão geral das funções empresariais básicas: marketing, finanças e contabilidade, produção e logística, recursos humanos. Os conceitos, níveis e tipos de decisão nas organizações. Os estágios do processo decisório. Os modelos individuais e organizacionais de tomada de decisão. Teorias,  metodologias, técnicas e ferramentas aplicáveis à análise de decisões. Gestão de Processos.
Introdução à Computação;1;programacao;2.7;4;72;60;30;30;Histórico e visão geral da computação. Hardware e software. Componentes de um computador: Processador, Memória (Hierarquia), Entrada e Saída e Barramento. Representação e processamento da informação. Classificação dos softwares. Sistemas numéricos e conversões.  Aritmética Binária. Sistemas de Codificação. Visão geral da informática: engenharia de software, banco de dados, redes de computadores, inteligência artificial, sistemas operacionais e interfaces homem-máquina. Tecnologias e aplicações dos computadores. Lixo eletrônico.
Fundamentos de Programação;1;programacao;3.6;8;144;120;60;60;Noções de lógica. Conceitos de algoritmo, linguagem de programação e programa. O processo de desenvolvimento de algoritmos e programas. Representações gráficas e textuais de  algoritmos.Conceitos de tipos de dados, constantes, variáveis, operadores (aritméticos,  relacionais e lógicos), expressões, atribuição, comandos de entrada e saída, estruturas de controle (seqüencial, seletiva e repetitiva). Implementação de algoritmos em uma linguagem de programação. Estruturas de dados básicas: vetores e matrizes.
Lógica Matemática;1;exatas;0.7;4;72;60;15;45;Lógica Proposicional. Proposições e conectivos. Operações lógicas sobre proposições. Tabela Verdade. Tautologias, contradições e contingências. Implicação Lógica. Equivalências lógicas notáveis. Álgebra de Proposições. Proposições associadas a um condicional.Argumentos. Validação de argumentos. Demonstração condicional e demonstração indireta. Sentenças abertas. Quantificadores. Validação de fórmulas da lógica proposicional. Lógicade Predicados.
Matemática Discreta;1;exatas;2.2;4;72;60;30;30;Conjuntos: operações entre conjuntos, conjuntos numéricos e intervalos reais. A linguagem das funções na modelagem de problemas. Características gerais das funções: estudo do sinal, variação, paridade. Análise Combinatória. Técnicas de Demonstração. Indução Matemática
Português Instrumental;1;humanas;1.2;3;54;45;25;20;Organização micro e macroestrutural do texto: coesão e coerência textuais. Teoria da comunicação. Diretrizes para leitura, análise e interpretação de textos. Tipologia textual. Redação científica. O texto dissertativo e a sua estrutura
praticas de linguagem de programacao;0;programacao;2.7;;;;;;
Arquitetura e Organização de Computadores;2;teoria;1.6;4;72;60;30;30;Organização básica de Computadores e seus principais componentes. Unidade Central de Processamento. Unidade Lógica e Aritmética. Instruções e linguagem de máquina. Modos de endereçamento. Mecanismos de interrupção. Interface de entrada e saída. Sistemas de memória, hierarquia de memória e memória Cache. Sequenciamento de sinais em arquiteta de Computadores e unidade de controle. Pipeline de instruções. Arquiteturas RISC e CISC. Arquiteturas de baixo consumo de energia. Paralelismo em nível de instruções e processadores superescalares. Aritmética para computadores. Introdução Arquiteturas Paralelas. Introdução a Virtualização.
Cálculo I;2;exatas;1.5;6;108;90;45;45;Funções de uma variável real, Limites e continuidade, Derivadas, Regras dederivação, Aplicações das derivadas, Integrais, Técnicas de Integração, Integral Definida,Aplicações da Integral Definida.
Engenharia de Software;3;teoria;2.4;4;72;60;40;20;Definição e objetivos da Engenharia de Software. Diferença entre Engenharia de Software e outras Engenharias. Definição de processo de software. Ciclos de vida de software. Processos de desenvolvimento de software. Gerenciamento e Engenharia de Requisitos. Introdução aos conceitos fundamentais de análise, arquitetura, design, construção, testes e manutenção de software.
Fundamentos de Sistema de Informação;2;teoria;2.3;4;72;60;30;30;Conceitos de sistema. Componentes e relacionamentos de sistema. Custo/valor e qualidade da informação. Características do profissional de sistemas de informação e carreiras de sistemas de informação. Fundamentos e classificação de sistemas de informação. Vantagem competitiva. Sistemas de informações empresariais. E-commerce, e-mobile, sistemas de informações gerenciais, de apoio à decisão, gerenciamento do conhecimento e sistemas especialistas. ERP, CRM E SCM. Visão geral de novas tecnologia na área.
Inglês Instrumental;2;humanas;2.7;2;36;30;15;15;Abordagem integrada dos níveis de compreensão de leitura, suas estratégias e aspectos léxicogramaticais. Ensino da língua inglesa através de literaturas técnico-científicas interdisciplinares.  Técnicas do inglês instrumental. Uso do dicionário.Interpretação de textos técnicos a partir do desenvolvimento de habilidades de leitura e do estudo de itens gramaticais sistematizados referentes à linguagem tecnológica específica.
Paradigma Orientado a Objetos;2;programacao;1.5;6;108;90;30;60;Classes e Objetos. Instanciação de objetos e Construtores. Atributos e Métodos. Troca de mensagens entre objetos. Encapsulamento. Modificadores de visibilidade. Métodos get e set. Estrutura de pacotes. Herança. Polimorfismo. Classe Abstrata e Interface. Classe Object. Tratamento de Exceção.
Educação e Diversidade;2;humanas;0.2;3;54;45;30;15;Cultura como expressão dos diferentes grupos humanos. Igualdade, diversidade e diferença. Diversidade étnico-racial brasileira com ênfase nas histórias e culturas dos povos indígenas e afro-brasileiros. Abordagens metodológicas e históricas para a educação dos alunos com necessidades especiais. Políticas públicas de inclusão.
Algoritmos e Estrutura de Dados I;3;programacao;2.6;6;108;90;30;60;"Introdução a estruturas de dados; análise assintótica de algoritmos: pior caso, caso médio e melhor caso; recursividade; tipo abstrato de dados; estruturas estáticas e dinâmicas; listas lineares; listas encadeadas (simplesmente, duplamente e circulares); pilha e fila; algoritmos de Ordenação."
Análise Orientada a Objetos;3;teoria;2;4;72;60;45;15;Visão geral de modelagem de Dados. A notação UML. Elicitação de requisitos e sua descrição utilizando o modelo de casos de uso. Diagramas da UML: diagramas estruturais e de comportamento. Aplicar os paradigmas da UML no desenvolvimento de projetos.
Informática Ética e Sociedade;3;humanas;1.2;2;36;30;15;15;Evolução da sociedade e das tecnologias de Informação e comunicação. As Eras: industrial, digital e do conhecimento. O trabalhador do conhecimento e o trabalho virtual. Inclusão social pela inclusão digital. O impacto das tecnologias de comunicação e de automação na sociedade. Obsolescência programada. Uso, reuso, e descarte conscientes. Ética e computação. Ética profissional e códigos de ética.
Metodologia Científica;3;humanas;1.2;3;54;45;30;15;Método, Metodologia e Ciência: conceitos básicos. Textos Científicos: tipos, técnicas e procedimentos. Citação e Referência Bibliográfica: normas, formas e importância. Fichamento: Conceito, tipos e funções. Pesquisa Bibliográfica: técnicas e procedimentos básicos. Seminários: objetivo, técnicas e função. Relatório: conceito, estrutura, tipos e funções. Projeto de Pesquisa: conceito, estrutura e objetivos.
Modelagem de Dados;3;teoria;0.2;4;72;60;15;45;"Introdução à Banco de Dados. Introdução a Modelagem de Dados. Modelo EntidadeRelacionamento. Modelo Relacional: Estrutura de Banco de Dados Relacionais; Normalização; Restrições de Integridade."
Sistemas Operacionais;3;teoria;1.3;4;72;60;45;15;"Evolução dos sistemas operacionais; conceitos básicos; níveis de hardware, software e microprogramação; tipos de sistemas; processo: conceito; estados e tipos; escalonamento de processos; gerenciamento de memória; sistemas de arquivos; sistemas de entrada e saída; interrupções, estudos de casos (Unix, Windows, Linux e outros).Mecanismos de gerenciamento de energia no Sistema Operacional."
Algoritmos e Estrutura de Dados II;4;programacao;1.5;4;72;60;45;15;Conceitos de Árvore. Árvore Binária de Busca. Árvore AVL. Árvore Vermelho-Preto. Árvore B e B+. Heap. Tabela de Espalhamento (Hash).
educacao e diversidade;0;humanas;1;;;;;;
Padrões de Projeto e Arquitetura de Software;4;teoria;1.2;4;72;60;15;45;Conceito de padrão de projeto. Padrões de projeto: classificação e utilização. Padrões de projeto para software orientado a objetos. Mapeamento objeto-relacional baseado em padrões. Conceitos básicos de arquitetura de software. Padrões de arquitetura de software. Knowledge Discovery Metamodel. Conceito de refatoração. Princípios para a utilização de refatorações. Refatorações para software orientado a objetos
Probabilidade e Estatística;4;exatas;3;4;72;60;45;15;Conceitos Básicos da estatística descritiva. Gráficos das séries estatísticas.Distribuição de frequências. Tabulação. Medidas de Tendência central. Medidas Separatrizes. Medidas de Dispersão. Medidas de Assimetria e Curtose. Probabilidades.Distribuições de probabilidades. Inferência estatística. Estimação. Correlação e Regressão linear.
Projeto de Banco de Dados;4;teoria;0.7;4;72;60;45;15;"Conceitos Básicos de Banco de Dados. Introdução a Sistemas Gerenciadores de Banco de Dados. Processamento de Transações; Controle de Concorrência, Persistência e Recuperação; Álgebra Relacional; Linguagem SQL: Definição, Conceitos e Comandos Básicos (DDL e DML)."
Qualidade de Software;4;teoria;2.7;4;72;60;40;20;Fundamentos de Qualidade de Software. Normas de qualidade. Qualidade do produto de software. Qualidade do processo de software. Processos de Gerência de Qualidade de Software. Garantia de qualidade.
Redes de Computadores;4;teoria;1;4;72;60;40;20;"Conceitos e princípios básicos de redes de computadores, arquiteturas de aplicações e de redes, protocolos e mecanismos das camadas de aplicação e de transporte em redes de computador. Protocolos de Endereçamento, IPv4 e IPv6. Serviços de Redes; Gerência de Redes de Computadores. Roteamento TCP/IP. Ativos de Redes de Computadores. Protocolos de Segurança de Redes. Computação na nuvem."
Administração de Banco de Dados;5;teoria;1;4;72;60;15;45;Planejamento, Instalação e Customização de um Sistema Gerenciador de Banco de Dados. Data Centers Verdes. Arquitetura de um Sistema Gerenciador de Banco de Dados. Criação, Implementação e Utilização de Procedimentos Armazenados, Gatilhos, Funções, e Cursores. Estrutura de Indexação. Desempenho e Otimização de Consultas. Segurança de Dados – Concessão e Remoção de Acesso a Dados. Cópia de Segurança – Backup e Restore e Replicação de Dados.
Laboratório de Redes de Computadores;5;teoria;1.3;4;72;60;20;40;Introdução aos simuladores de redes, software de teste em redes, protocolos de redes, camada TCP/IP, camada OSI, testes com roteadores reais. Transmissão de dados em redes de computadores. Redes locais Wireless. Normas de cabeamento estruturado. Normas EIA/TIA (Electric Industries Association / Telecommunications Industries Association). Norma EIA/TIA 568ª – Cabeamento Estruturado. Norma EIA/TIA 569 –Passagens e espaços. EIA/TIA 606 – Infra-estrutura de edifícios comerciais. EIA/TIA 607 – Aterramento. EIA/TIA 570 – Edifícios residenciais. Instalações Elétricas. Especificação lógica e física de Redes.
Programação Web I;5;programacao;0;4;72;60;15;45;Introduzir conceitos da arquitetura web, apresentando regras da linguagem HTML, juntamente com recursos de uma linguagem orientada a objetos e que permita o desenvolvimento em camadas, com acesso a banco de dados e criação de Interfaces Ricas.
Projeto Integrador I;5;teoria;2.4;2;36;30;15;15;Utilizar os conceitos e conhecimentos adquiridos ao longo do curso, especificamente nas disciplinas Modelagem de Dados, Análise Orientada a Objetos e Engenharia de Software e colocá-los em prática para a construção de um projeto
Teste de Software;5;programacao;0;2;36;30;15;15;"Fundamentos de Teste de sw; Níveis de teste: Teste de unidade, integração, sistema; Teste de Regressão. Teste de Aceitação. Casos de Teste; Técnicas e critérios de teste; Planejamento de Verificação e Validação. Desenvolvimento orientado a testes. Automação de testes. Ferramentas de testes. Teste Orientado a Objetos; Teste de Aplicações Web. Teste em Dispositivos Móveis."
fundamentos de economia ;0;humanas;0.2;;;;;;
Gerência de Projetos;5;teoria;0.4;4;72;60;25;35;"Conceito e objetivos da gerência de projetos; Ciclo de Vida do Projeto; O PMBOK; Áreas de Conhecimento do PMBOK; O Gerente de projetos; Planejamento do Projeto; O termo de abertura e a definição de escopo; Análise das necessidades dos clientes do projeto; Execução do Projeto; Monitoramento e Controle do Projeto; Encerramento do Projeto; Gestão de Portfólio; Metodologias, técnicas e ferramentas da gerência de projetos; Modelos de gerenciamento de projeto."
Introdução à Interação HumanoComputador;6;humanas;0.2;2;36;30;15;15;"Permitir a avaliação das capacidades e limitações dos usuários em sua relação com os sistemas de informação (Comunicação Homem-Máquina); plataformas e ferramentas de desenvolvimento. Interface com o usuário: usabilidade e ergonomia, métodos e técnicas para o desenvolvimento de aplicações e interfaces inteligentes; Requisitos de Usabilidade."
Modelagem de Processo de Negócio;6;humanas;0.2;2;36;30;15;15;"Gestão Organizacional e contextualização de processos nas organizações; Modelagem da arquitetura de negócio; Visões de modelos de negócio; Regras de negócio; Padrões de negócio; Gestão de processos de negócio; Compreensão das necessidades do negócio; Ciclo de Gerenciamento de Business ProcessModeling; Modelagem de Processos de Negócios: conceitos básicos, notações, ferramentas, elementos essenciais das linguagens BPMN (Business ProcessModelingNotation); Integração com o desenvolvimento de software; Business ProcessModelingNotation: escopo, processos (privados, abstratos e colaborativos), elementos do BPMN."
Governança em TI;6;humanas;0.2;4;72;60;40;20;"Governança de TI: conceito, objetivos, componentes; Modelos de Governança de TI e de Melhores Práticas; Modelos para Gerenciamento de Serviços de TI; Modelos para Processos de Software; Modelos para Gerenciamento de Projetos; Modelos para Segurança da Informação; Modelos para Gerenciamento de Sourcing; Ferramentas, Técnicas e Processos da Governança de TI; TI Verde."
Programação Web II;6;programacao;0.2;6;108;90;30;60;Introdução à plataforma .NET Framework. C#. Acesso a Banco de Dados com ADO.NET e Entity Framework. Desenvolvimento de aplicações com acessos a banco de dados e webservices utilizando o Framework .NET.
Sistema de Apoio a Decisão;6;teoria;0.8;4;72;60;30;30;Fundamentos e classificação de sistemas de informação. Tipos de sistemas de apoio à decisão: SAD, SIG, EIS. Conceitos básicos de Data Warehouse. Modelagem Dimensional, OLAP (OnLine AnalyticalProcessing). Projeto e implementação de sistemas de apoio à decisão. Tópicos avançados em sistemas de apoio à decisão.
Sistemas Distribuídos;6;programacao;1.2;2;36;30;20;10;"Motivações, objetivos e caracterização de Sistemas Distribuídos: distribuição de dados e controle; classificação; definição. Arquitetura de Sistemas Distribuídos: processos paralelos; estruturação modular e abstrações; o modelo de camadas e interfaces. Interconexão física: topologia; meios de transmissão. Aspectos de projeto e implementação: compartilhamento de recursos; Utilização eficiente de recursos com computação em nuvem; nomeação e endereçamento; comunicação e sincronização entre processos; proteção; recuperação de erros; tolerância a falhas. Protocolos e serviços. Especificação e validação de protocolos"
Orientação de Estágio;7;humanas;0;2;36;30;15;15;Abordagem prática, sistematizando os conceitos desenvolvidos até o presente momento do curso no embate com a realidade profissional, em uma dinâmica que envolve desde a observação, compreensão e explicitação de processos, bem como a proposição de ações e intervenções.
Programação para Dispositivos Móveis;7;programacao;1.5;4;72;60;30;30;Visão geral sobre dispositivos móveis: comparação entre dispositivos móveis e computadores convencionais. Características dos dispositivos móveis. Arquiteturas de aplicação móvel. Infraestrutura móvel. Projeto de interfaces para dispositivos móveis. Programação de aplicações para clientes móveis. Transferência de dados cliente-servidor. Comparativo entre as maiores plataformas mais utilizadas no mercado. Prática em desenvolvimento de aplicações móveis
Projeto e Análise de Algoritmos;7;programacao;1.7;2;36;30;15;15;Análise assintótica de algoritmos. Análise de melhor caso, pior caso e caso médio. Técnicas de projetos de algoritmo: força-bruta, guloso, divisão e conquista e programação dinâmica. Recursão. Backtracking. Classes de Problemas: P, NP, NP-Completo e NP-Difícil. Introdução ao Grafo: representação computacional, percurso, árvore geradora mínima e caminhos mínimos
Projeto Integrador II;7;programacao;1.1;4;72;60;30;30;Utilizar os conceitos e conhecimentos adquiridos ao longo do curso, especificamente nas disciplinas Programação Web I, Administração de Banco de Dados, Gerência de Projetos, Teste de Software e Introdução à Interação Humano-Computador e colocá-los em prática para a construção de um projeto.
Segurança e Auditoria em Sistemas de Informação;7;teoria;0.9;2;36;30;15;15;Importância da informação para as empresas. Conceitos de segurança da informação. Tipos de ameaças e ataques. Engenharia social. Política de segurança. Segurança na web e de software: falhas de programação e vulnerabilidades comuns. Conceitos de auditoria em tecnologias da informação. Plano de contingência ou continuidade de negócios. Normas NBR ISO/IEC 17799:2001 e NBR ISO/IEC 27002:2005.
topicos especiais em bd;0;teoria;1.4;0;60;30;30;30;
Trabalho de Conclusão de Curso I;7;humanas;0.2;1;18;15;5;10;Escolha de um tema e desenvolvimento do pré-projeto referente ao trabalho de conclusão de curso. Revisão bibliográfica para a fundamentação teórica. Escolha da metodologia. Elaboração orientada de um projeto para o Trabalho de Conclusão de Curso (TCC), na área relacionada à ênfase do curso escolhida pelo aluno.
Empreendedorismo;0;humanas;0;4;72;60;30;30;Empreendedorismo: conceitos básicos e aspectos históricos. Empreendedorismo numa perspectiva processual. Integridade empreendedora. Tipos de empreendedorismo. Panorama do empreendedorismo no Brasil. Conceitos Básicos de planejamento aplicados em Empreendedorismo. Plano de Negócio: significado e importância. Tipos de planos de negócio. A estrutura de um plano de negócio. Estudo dos elementos integrantes de um plano de negócio.
